object_id,run_number,date_from,date_to,interval_days
ZTF21abjbfpg,1,2026-01-04,2026-01-08,4
ZTF21abjbfpg,2,2026-01-08,2026-01-14,6
ZTF21abjbfpg,3,2026-01-14,2026-01-16,2
ZTF21abjbfpg,4,2026-01-16,2026-01-18,2
ZTF21abjbfpg,5,2026-01-18,2026-01-20,2
ZTF25abhzbuz,1,2025-12-22,2025-12-24,2
ZTF25abhzbuz,2,2025-12-24,2025-12-26,2
ZTF25abhzbuz,3,2025-12-26,2025-12-27,1
ZTF25abhzbuz,4,2025-12-27,2025-12-29,2
ZTF25abhzbuz,5,2025-12-29,2026-01-01,3
ZTF25abhzbuz,6,2026-01-01,2026-01-06,5
ZTF25abhzbuz,7,2026-01-06,2026-01-14,8
ZTF25abhzbuz,8,2026-01-14,2026-01-17,3
ZTF25abhzbuz,9,2026-01-17,2026-01-18,1
ZTF25abhzbuz,10,2026-01-18,2026-01-20,2
ZTF25abtgvqq,1,2025-12-22,2025-12-26,4
ZTF25abtgvqq,2,2025-12-26,2025-12-28,2
ZTF25abuqccu,1,2025-12-21,2025-12-24,3
ZTF25abuqccu,2,2025-12-24,2025-12-26,2
ZTF25abuqccu,3,2025-12-26,2025-12-27,1
ZTF25abuvsvz,1,2026-01-03,2026-01-06,3
ZTF25abuvsvz,2,2026-01-06,2026-01-14,8
ZTF25abuvsvz,3,2026-01-14,2026-01-16,2
ZTF25abuvsvz,4,2026-01-16,2026-01-18,2
ZTF25abvbczt,1,2025-12-27,2025-12-29,2
ZTF25abvbczt,2,2025-12-29,2025-12-31,2
ZTF25abvbnjm,1,2025-12-21,2025-12-23,2
ZTF25abvbnjm,2,2025-12-23,2025-12-25,2
ZTF25abvbnjm,3,2025-12-25,2025-12-27,2
ZTF25abvbnjm,4,2025-12-27,2025-12-29,2
ZTF25abvqjxe,1,2025-12-21,2025-12-24,3
ZTF25abvqjxe,2,2025-12-24,2025-12-26,2
ZTF25abvqjxe,3,2025-12-26,2025-12-29,3
ZTF25abwbvvj,1,2025-12-22,2025-12-26,4
ZTF25abwbvvj,2,2025-12-26,2025-12-27,1
ZTF25abwbvvj,3,2025-12-27,2025-12-29,2
ZTF25abwbvvj,4,2025-12-29,2025-12-31,2
ZTF25abwgpjb,1,2025-12-21,2025-12-23,2
ZTF25abwgpjb,2,2025-12-23,2025-12-26,3
ZTF25abwgpjb,3,2025-12-26,2025-12-29,3
ZTF25abwgpjb,4,2025-12-29,2025-12-31,2
ZTF25abwgpjb,5,2025-12-31,2026-01-06,6
ZTF25abwigqz,1,2025-12-21,2025-12-26,5
ZTF25abwigqz,2,2025-12-26,2025-12-27,1
ZTF25abwigqz,3,2025-12-27,2025-12-29,2
ZTF25abwigqz,4,2025-12-29,2025-12-31,2
ZTF25abwigqz,5,2025-12-31,2026-01-06,6
ZTF25abwjmwj,1,2025-12-21,2025-12-24,3
ZTF25abwjmwj,2,2025-12-24,2025-12-26,2
ZTF25abwjmwj,3,2025-12-26,2025-12-27,1
ZTF25abwjmwj,4,2025-12-27,2025-12-29,2
ZTF25abwjmwj,5,2025-12-29,2026-01-01,3
ZTF25abwjmwj,6,2026-01-01,2026-01-06,5
ZTF25abwkiga,1,2025-12-21,2025-12-26,5
ZTF25abwkiga,2,2025-12-26,2025-12-27,1
ZTF25abwkiga,3,2025-12-27,2025-12-30,3
ZTF25abwkiga,4,2025-12-30,2026-01-01,2
ZTF25abwkiga,5,2026-01-01,2026-01-06,5
ZTF25abwlocm,1,2025-12-21,2025-12-23,2
ZTF25abwlocm,2,2025-12-23,2025-12-26,3
ZTF25abwlocm,3,2025-12-26,2025-12-27,1
ZTF25abwlocm,4,2025-12-27,2025-12-29,2
ZTF25abwlocm,5,2025-12-29,2025-12-31,2
ZTF25abwlocm,6,2025-12-31,2026-01-06,6
ZTF25abwlocm,7,2026-01-06,2026-01-13,7
ZTF25abwlocm,8,2026-01-13,2026-01-14,1
ZTF25abwnsol,1,2025-12-21,2025-12-24,3
ZTF25abwnsol,2,2025-12-24,2025-12-26,2
ZTF25abwnsol,3,2025-12-26,2025-12-27,1
ZTF25abwnsol,4,2025-12-27,2025-12-29,2
ZTF25abwnsol,5,2025-12-29,2025-12-31,2
ZTF25abwnsol,6,2025-12-31,2026-01-06,6
